State,Year,Crime
Alabama,2004,4029.3
Alabama,2005,3900
Alabama,2006,3937
Alabama,2007,3974.9
Alabama,2008,4081.9
District of Columbia,2004,4852.8
District of Columbia,2005,4490
District of Columbia,2006,4653.9
District of Columbia,2007,4916.3
District of Columbia,2008,5104.6
California,2004,3423.9
California,2005,3321
California,2006,3175.2
California,2007,3032.6
California,2008,2940.3
New Jersey,2004,2433
New Jersey,2005,2337
New Jersey,2006,2278.4
New Jersey,2007,2205.5
New Jersey,2008,2293.4
